nr. sessions,nr. rest days,total kms,total km Z3-Z4-Z5-T1-T2,"nr. tough sessions (effort in Z5, T1 or T2)",nr. days with interval session,total km Z3-4,max km Z3-4 one day,total km Z5-T1-T2,max km Z5-T1-T2 one day,total hours alternative training,nr. strength trainings,nr. sessions.1,nr. rest days.1,total kms.1,max km one day.1,total km Z3-Z4-Z5-T1-T2.1,"nr. tough sessions (effort in Z5, T1 or T2).1",nr. days with interval session.1,total km Z3-4.1,max km Z3-4 one day.1,total km Z5-T1-T2.1,max km Z5-T1-T2 one day.1,total hours alternative training.1,nr. strength trainings.1,nr. sessions.2,nr. rest days.2,total kms.2,max km one day.2,total km Z3-Z4-Z5-T1-T2.2,"nr. tough sessions (effort in Z5, T1 or T2).2",nr. days with interval session.2,total km Z3-4.2,max km Z3-4 one day.2,total km Z5-T1-T2.2,max km Z5-T1-T2 one day.2,total hours alternative training.2,nr. strength trainings.2,Athlete ID,Date
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,155
6.0,1.0,91.3,17.3,3.0,3.0,3.6,3.6,12.8,6.4,0.0,0.0,9.0,0.0,129.7,29.7,9.2,1.0,2.0,1.5,1.5,7.2,7.2,0.0,0.0,8.0,0.0,131.1,37.0,19.1,2.0,3.0,11.0,9.0,7.0,6.0,0.0,0.0,1,272
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,196
8.0,0.0,159.1,22.1,0.0,3.0,21.8,9.0,0.0,0.0,0.0,0.0,8.0,0.0,160.6,30.3,40.6,0.0,3.0,40.0,20.0,0.0,0.0,0.0,0.0,9.0,0.0,180.9,31.4,40.4,0.0,3.0,39.0,18.0,0.0,0.0,0.0,0.0,1,239
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,188
9.0,0.0,162.0,18.0,1.0,2.0,8.0,8.0,10.0,10.0,0.0,0.0,12.0,0.0,210.0,38.0,39.0,2.0,3.0,10.0,10.0,29.0,17.0,0.0,0.0,10.0,0.0,203.6,44.0,23.6,0.0,2.0,23.6,14.0,0.0,0.0,0.0,0.0,1,703
7.0,1.0,157.0,26.0,1.0,2.0,18.0,18.0,8.0,8.0,0.0,0.0,9.0,0.0,191.0,35.0,47.0,1.0,4.0,41.0,17.0,6.0,6.0,0.0,0.0,10.0,0.0,152.6,34.0,28.1,1.0,2.0,21.1,21.1,7.0,7.0,0.0,0.0,1,740
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,106
6.0,2.0,108.3,10.3,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,8.0,1.0,141.5,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,143.0,38.0,18.0,0.0,2.0,18.0,9.0,0.0,0.0,0.0,0.0,1,353
9.0,0.0,149.3,28.3,1.0,2.0,21.0,21.0,7.0,7.0,0.0,0.0,8.0,0.0,188.3,37.0,32.3,1.0,4.0,24.0,18.0,8.0,8.0,0.0,0.0,9.0,0.0,210.1,41.0,60.1,0.0,4.0,59.5,19.5,0.0,0.0,0.0,1.0,1,63
